0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SansSweat,0,,,,,,,
0,SET,I,0,,,,,,
0,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,8,,,,,,,
0,JMPREL,10,,,,,,,
0,SansBody,HandRight,,,,,,,
0,SET,Dir2,2,,,,,,
0,JMPREL,10,,,,,,,
0,SansBody,HandDown,,,,,1,,
0,SET,Dir2,3,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,SET,Dir2,0,,,,,,
0,JMPREL,4,,,,,,,
0,SansBody,HandUp,,,,,,,
0,SET,Dir2,1,,,,,,
0,JMPREL,1,,,,,,,
0.46666,SansSlam,$Direction,,,,,,,
0.13334,BoneStab,$Direction,35,0.25,0,,,,
0,BoneStab,$Dir2,100,0.2,0,,,,
0,ADD,I,$I,1,,,,,
0,JMPL,7,$I,8,,,,,
0,BoneHRepeat,130,-10,200,1,300,9,125,
0,BoneHRepeat,330,650,200,3,300,9,125,
0.5,HeartMode,0,,,,,,,
4,SansBody,HandLeft,,,,,,,
0.2,SansSlam,2,,,,,,,
0,CombatZoneSpeed,1500,,,,,,,
0,CombatZoneResize,40,226,70,391,,,,
0.5,SansBody,HandRight,,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneSpeed,1200,,,,,,,
0,CombatZoneResize,40,226,650,391,,,,
0.33333,HeartMaxFallSpeed,0,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansRepeat,,,,,,,,
0,CombatZoneResize,-10,226,650,391,,,,
0.3,CombatZoneSpeed,30,,,,,,,
0,CombatZoneResize,-10,264,650,369,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,SansSlam,0,,,,,,,
1.5,DIV,Deg,180,$pi,,,,,
0,SET,I,0,,,,,,
0,DIV,Ang,$I,2,,,,,
0,MUL,Ang,$Ang,$Deg,,,,,
0,SIN,Sine,$Ang,,,,,,
0,MUL,Sine,$Sine,25,,,,,
0,FLOOR,Sine,$Sine,,,,,,
0,MUL,X,$I,60,,,,,
0,ADD,X,$X,634,,,,,
0,SET,Y,270,,,,,,
0,ADD,H,35,$Sine,,,,,
0,BoneV,$X,$Y,$H,2,900,,,
0,ADD,Y,$Y,$H,,,,,
0,ADD,Y,$Y,24,,,,,
0,SUB,H,384,$Y,,,,,
0,BoneV,$X,$Y,$H,2,900,,,
0,ADD,I,$I,1,,,,,
0,JMPL,53,$I,44,,,,,
0,ADD,X,$X,360,,,,,
0,BoneVRepeat,$X,270,50,2,900,9,15,
0,ADD,X,$X,330,,,,,
0,BoneVRepeat,$X,314,50,2,900,9,15,
0,ADD,X,$X,315,,,,,
0,BoneVRepeat,$X,270,50,2,900,9,15,
0,ADD,X,$X,300,,,,,
0,BoneVRepeat,$X,314,50,2,900,9,15,
0,ADD,X,$X,285,,,,,
0,BoneVRepeat,$X,270,50,2,900,9,15,
0,ADD,X,$X,270,,,,,
0,BoneVRepeat,$X,314,50,2,900,9,15,
0,ADD,X,$X,255,,,,,
0,BoneVRepeat,$X,270,50,2,900,9,15,
0,ADD,X,$X,240,,,,,
0,BoneVRepeat,$X,314,50,2,900,9,15,
0,ADD,X,$X,225,,,,,
