0,CombatZoneResize,239,226,404,391,TLResume,,,,
0,HeartTeleport,320,304,,,,,,,
0,HeartMode,0,,,,,,,,
0,TLPause,,,,,,,,,
0,SET,Loop,10,,,,,,,
0,:RndAttack,,,,,,,,,
0,BlackScreen,1,,,,,,,,
0,Sound,Flash,,,,,,,,
0.13333,BlackScreen,0,,,,,,,,
0,Sound,Flash,,,,,,,,
0,JMPZ,End,$Loop,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,
0,RND,Jump,9,,,,,,,
0,ADD,Jump,$Jump,1,,,,,,
0,JMPREL,$Jump,,,,,,,,
0,JMPABS,Attack0,,,,,,,,
0,JMPABS,Attack1,,,,,,,,
0,JMPABS,Attack2,,,,,,,,
0,JMPABS,Attack3,,,,,,,,
0,JMPABS,Attack4,,,,,,,,
0,JMPABS,Attack5,,,,,,,,
0,JMPABS,Attack6,,,,,,,,
0,JMPABS,Attack7,,,,,,,,
0,JMPABS,Attack8,,,,,,,,
0,:Attack0,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,
0,HeartMode,1,,,,,,,,
0,HeartTeleport,320,376,,,,,,,
0,BoneVRepeat,128,341,45,0,240,6,16,,
0,BoneVRepeat,512,341,45,2,240,6,16,,
0,BoneV,-64,282,90,0,240,,,,
0,BoneV,704,282,90,2,240,,,,
0.2,BoneVRepeat,-114,341,45,0,240,12,16,,
0,BoneV,-304,286,100,0,240,,,,
0,BoneVRepeat,754,341,45,2,240,12,16,,
0,BoneV,946,286,100,2,240,,,,
2.4,JMPABS,RndAttack,,,,,,,,
0,:Attack1,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,,
0,HeartMode,1,,,,,,,,
0,HeartTeleport,320,376,,,,,,,
0,BoneV,128,286,100,0,240,1,,,
0,BoneV,36,366,20,0,270,0,,,
0,BoneV,4,286,100,0,270,0,,,
0,BoneV,512,286,100,2,240,1,,,
0,BoneV,604,366,20,2,270,0,,,
0,BoneV,636,286,100,2,270,0,,,
1.1,JMPABS,RndAttack,,,,,,,,
0,:Attack2,,,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,,,
0,HeartMode,1,,,,,,,,
0,HeartTeleport,320,376,,,,,,,
0,SET,Total,0,,,,,,,
0,SET,Loop2,0,,,,,,,
0,:Attack2Begin,,,,,,,,,
0,RND,Choice,3,,,,,,,
0,ADD,HeightB,$Choice,2,,,,,,
0,MUL,HeightB,$HeightB,10,,,,,,
0,SET,RndSpeed,0,,,,,,,
0,JMPZ,SkipRndSpeed,$Loop2,,,,,,,
0,RND,RndSpeed,3,,,,,,,
0,SUB,RndSpeed,$RndSpeed,1,,,,,,
0,MUL,RndSpeed,$RndSpeed,2,,,,,,
0,:SkipRndSpeed,,,,,,,,,
0,SUB,HeightT,86,$HeightB,,,,,,
0,SUB,YB,386,$HeightB,,,,,,
0,MUL,X,$Loop2,22,,,,,,
0,ADD,X,$X,25,,,,,,
0,ADD,X,$X,$Total,,,,,,
0,ADD,SpeedL,6,$RndSpeed,,,,,,
0,MUL,XL,$X,$SpeedL,,,,,,
0,SUB,XL,320,$XL,,,,,,
0,MUL,SpeedL,$SpeedL,30,,,,,,
0,MUL,RndSpeed,$RndSpeed,-1,,,,,,
0,ADD,SpeedR,6,$RndSpeed,,,,,,
0,MUL,XR,$X,$SpeedR,,,,,,
0,ADD,XR,320,$XR,,,,,,
0,MUL,SpeedR,$SpeedR,30,,,,,,
0,BoneV,$XL,282,$HeightT,0,$SpeedL,,,,
