0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,15,346,30,0,180,,
0,BoneVRepeat,50,356,40,0,180,61,20
1,Platform,-61,321,30,0,180,,
0.75,Platform,-61,346,30,0,180,,
0,BoneV,-55,257,65,0,180,,
0,BoneVRepeat,-67,257,40,0,180,15,12
0,Platform,-253,346,30,0,180,,
0,BoneV,-247,257,65,0,180,,
2,Platform,15,321,30,0,180,,
0.5,Platform,15,335,30,0,180,,
1,Platform,15,275,30,0,180,,
1,Platform,15,346,20,0,180,,
2,BoneV,133,257,95,0,185,,
0,BoneV,507,336,60,2,185,,
0.5,BoneV,133,257,95,0,185,,
0,BoneV,507,336,60,2,185,,
0.5,BoneV,133,257,95,0,185,,
0,BoneV,507,336,60,2,185,,
1.7,EndAttack,,,,,,,
